x,y,z,u,v
-1.9727,-0.32919,-1.4125,1.6421291,0.65658164
-2.0926,-0.34919,-1.4125,1.6278069,0.6456053
-2.2193,-0.37034,-1.4125,1.6155045,0.63605446
-1.8916,-0.6494,-1.4125,1.6392083,0.6552021
-2.0066,-0.68886,-1.4125,1.6253247,0.64462173
-2.1281,-0.73057,-1.4125,1.6135144,0.6354916
-1.7589,-0.95189,-1.4125,1.6406424,0.6569176
-1.8658,-1.0097,-1.4125,1.627292,0.64679724
-1.9788,-1.0709,-1.4125,1.6159396,0.63807434
-1.5783,-1.2284,-1.4125,1.6476083,0.6622986
-1.6742,-1.3031,-1.4125,1.6351831,0.65288395
-1.7756,-1.382,-1.4125,1.6245595,0.64474434
-1.3546,-1.4714,-1.4125,1.6542549,0.6670251
-1.4369,-1.5609,-1.4125,1.6428162,0.6583079
-1.5239,-1.6554,-1.4125,1.6329868,0.6507489
-1.0939,-1.6743,-1.4125,1.6535717,0.6659952
-1.1604,-1.7761,-1.4125,1.6425202,0.65746844
-1.2306,-1.8836,-1.4125,1.6329802,0.6500338
-0.80339,-1.8315,-1.4125,1.6449541,0.6588231
-0.8522,-1.9428,-1.4125,1.6337645,0.6500057
-0.90381,-2.0605,-1.4125,1.6240991,0.64226127
-0.49097,-1.9388,-1.4125,1.6341546,0.6499355
-0.5208,-2.0566,-1.4125,1.6230121,0.6408825
-0.55234,-2.1812,-1.4125,1.6135097,0.6329352
-0.16516,-1.9932,-1.4125,1.6271738,0.64413345
-0.17519,-2.1143,-1.4125,1.6166124,0.6352623
-0.1858,-2.2423,-1.4125,1.6077688,0.62751
0.16516,-1.9932,-1.4125,1.626102,0.6433744
0.17519,-2.1143,-1.4125,1.61654,0.6351532
0.1858,-2.2423,-1.4125,1.6086671,0.6280191
0.49097,-1.9388,-1.4125,1.6290251,0.64637536
0.5208,-2.0566,-1.4125,1.6206433,0.639151
0.55234,-2.1812,-1.4125,1.6139306,0.63302356
0.80339,-1.8315,-1.4125,1.631682,0.6496688
0.8522,-1.9428,-1.4125,1.6241139,0.643315
0.90381,-2.0605,-1.4125,1.6183082,0.6381689
1.0939,-1.6743,-1.4125,1.6305077,0.6500569
1.1604,-1.7761,-1.4125,1.6225975,0.6437416
1.2306,-1.8836,-1.4125,1.6165776,0.63876045
1.3546,-1.4714,-1.4125,1.6260053,0.64742523
1.4369,-1.5609,-1.4125,1.6163418,0.6400525
1.5239,-1.6554,-1.4125,1.6086214,0.63406664
1.5783,-1.2284,-1.4125,1.6231854,0.6451552
1.6742,-1.3031,-1.4125,1.6110101,0.6360786
1.7756,-1.382,-1.4125,1.6007787,0.6284011
1.7589,-0.95189,-1.4125,1.6273715,0.6471076
1.8658,-1.0097,-1.4125,1.6129857,0.63643295
1.9788,-1.0709,-1.4125,1.6004574,0.6271212
1.8916,-0.6494,-1.4125,1.6378381,0.65315956
2.0066,-0.68886,-1.4125,1.6222318,0.64150953
2.1281,-0.73057,-1.4125,1.6083617,0.6311692
1.9727,-0.32919,-1.4125,1.6462063,0.6578817
2.0924,-0.34916,-1.4125,1.6300783,0.6457496
2.2193,-0.37034,-1.4125,1.6156658,0.63492894
2.0,0.0,-1.175,1.5433782,0.5798444
1.9727,0.32919,-1.175,1.533508,0.5729051
2.0928,0.34922,-1.175,1.5207736,0.5635397
2.1215,-4.1784e-07,-1.175,1.5313532,0.57096314
2.2193,0.37034,-1.175,1.509987,0.55552274
2.25,0.0,-1.175,1.5210345,0.56328356
1.8916,0.6494,-1.175,1.525978,0.5678448
2.0066,0.68886,-1.175,1.5129304,0.55824107
2.1281,0.73057,-1.175,1.5018759,0.54998827
1.7589,0.95189,-1.175,1.5270555,0.56879145
1.8658,1.0097,-1.175,1.5144718,0.55943847
1.9788,1.0709,-1.175,1.5037751,0.551344
1.5783,1.2284,-1.175,1.5348164,0.5745055
1.6742,1.3031,-1.175,1.5235049,0.5659581
1.7756,1.382,-1.175,1.513907,0.5585425
1.3546,1.4714,-1.175,1.5408273,0.57935023
1.4369,1.5609,-1.175,1.5307913,0.57167673
1.5239,1.6554,-1.175,1.5223469,0.56505555
1.0939,1.6743,-1.175,1.5386658,0.57879794
