x,y,z,convected,diffused
-1.9727,0.32919,-1.65,0.7324,1.7368
-2.0926,0.34919,-1.65,0.73197,1.7365
-2.2193,0.37034,-1.65,0.73218,1.7367
-2,1.96E-16,-1.65,0.7324,1.7368
-2.1215,-4.70E-07,-1.65,0.73197,1.7365
-2.25,-2.20E-16,-1.65,0.73218,1.7367
-1.9727,-0.32919,-1.65,0.7324,1.7368
-2.0926,-0.34919,-1.65,0.73197,1.7365
-2.2193,-0.37034,-1.65,0.73217,1.7367
-1.8916,-0.6494,-1.65,0.7324,1.7368
-2.0066,-0.68886,-1.65,0.73197,1.7365
-2.1281,-0.73057,-1.65,0.73217,1.7367
-1.7589,-0.95189,-1.65,0.7324,1.7368
-1.8658,-1.0097,-1.65,0.73197,1.7365
-1.9788,-1.0709,-1.65,0.73217,1.7367
-1.5783,-1.2284,-1.65,0.7324,1.7368
-1.6742,-1.3031,-1.65,0.73196,1.7365
-1.7756,-1.382,-1.65,0.73217,1.7367
-1.3546,-1.4714,-1.65,0.73239,1.7368
-1.4369,-1.5609,-1.65,0.73196,1.7365
-1.5239,-1.6554,-1.65,0.73217,1.7367
-1.0939,-1.6743,-1.65,0.73239,1.7368
-1.1604,-1.7761,-1.65,0.73196,1.7364
-1.2306,-1.8836,-1.65,0.73216,1.7366
-0.80339,-1.8315,-1.65,0.73238,1.7368
-0.8522,-1.9428,-1.65,0.73195,1.7364
-0.90381,-2.0605,-1.65,0.73215,1.7366
-0.49097,-1.9388,-1.65,0.73236,1.7368
-0.5208,-2.0566,-1.65,0.73193,1.7364
-0.55234,-2.1812,-1.65,0.73214,1.7366
-0.16516,-1.9932,-1.65,0.73234,1.7368
-0.17519,-2.1143,-1.65,0.73192,1.7364
-0.1858,-2.2423,-1.65,0.73212,1.7366
0.16516,-1.9932,-1.65,0.73233,1.7368
0.17519,-2.1143,-1.65,0.73191,1.7364
0.1858,-2.2423,-1.65,0.73211,1.7366
0.49097,-1.9388,-1.65,0.73233,1.7368
0.5208,-2.0566,-1.65,0.7319,1.7364
0.55234,-2.1812,-1.65,0.73211,1.7366
0.80339,-1.8315,-1.65,0.73233,1.7368
0.8522,-1.9428,-1.65,0.7319,1.7364
0.90381,-2.0605,-1.65,0.73211,1.7366
1.0939,-1.6743,-1.65,0.73234,1.7368
1.1604,-1.7761,-1.65,0.73191,1.7364
1.2306,-1.8836,-1.65,0.73211,1.7366
1.3546,-1.4714,-1.65,0.73235,1.7368
1.4369,-1.5609,-1.65,0.73192,1.7364
1.5239,-1.6554,-1.65,0.73213,1.7366
1.5783,-1.2284,-1.65,0.73237,1.7368
1.6742,-1.3031,-1.65,0.73194,1.7364
1.7756,-1.382,-1.65,0.73214,1.7366
1.7589,-0.95189,-1.65,0.73238,1.7368
1.8658,-1.0097,-1.65,0.73195,1.7364
1.9788,-1.0709,-1.65,0.73216,1.7366
1.8916,-0.6494,-1.65,0.73239,1.7368
2.0066,-0.68886,-1.65,0.73196,1.7365
2.1281,-0.73057,-1.65,0.73217,1.7367
1.9727,-0.32919,-1.65,0.7324,1.7368
2.0924,-0.34916,-1.65,0.73197,1.7365
2.2193,-0.37034,-1.65,0.73218,1.7367
2,0,-1.4125,0.65032,1.6401
1.9727,0.32919,-1.4125,0.65032,1.6401
2.0928,0.34922,-1.4125,0.6504,1.6402
2.1215,-4.18E-07,-1.4125,0.6504,1.6402
2.2193,0.37034,-1.4125,0.65035,1.6401
2.25,0,-1.4125,0.65034,1.6401
1.8916,0.6494,-1.4125,0.65032,1.6401
2.0066,0.68886,-1.4125,0.65041,1.6402
2.1281,0.73057,-1.4125,0.65035,1.6401
1.7589,0.95189,-1.4125,0.65033,1.6401
1.8658,1.0097,-1.4125,0.65041,1.6402
1.9788,1.0709,-1.4125,0.65035,1.6401
1.5783,1.2284,-1.4125,0.65033,1.6401
1.6742,1.3031,-1.4125,0.65041,1.6402
1.7756,1.382,-1.4125,0.65035,1.6401
1.3546,1.4714,-1.4125,0.65032,1.6401
1.4369,1.5609,-1.4125,0.6504,1.6402
1.5239,1.6554,-1.4125,0.65035,1.6401
1.0939,1.6743,-1.4125,0.65032,1.6401
1.1604,1.7761,-1.4125,0.6504,1.6402
1.2306,1.8836,-1.4125,0.65034,1.6401
0.80339,1.8315,-1.4125,0.65032,1.6401
0.8522,1.9428,-1.4125,0.6504,1.6402
0.90381,2.0605,-1.4125,0.65034,1.6401
0.49097,1.9388,-1.4125,0.65032,1.6401
0.5208,2.0566,-1.4125,0.6504,1.6402
0.55234,2.1812,-1.4125,0.65034,1.6401
0.16516,1.9932,-1.4125,0.65032,1.6401
0.17519,2.1143,-1.4125,0.6504,1.6402
0.1858,2.2423,-1.4125,0.65034,1.6401
-0.16516,1.9932,-1.4125,0.65032,1.6401
-0.17519,2.1143,-1.4125,0.6504,1.6402
-0.1858,2.2423,-1.4125,0.65034,1.6401
-0.49097,1.9388,-1.4125,0.65032,1.6401
-0.5208,2.0566,-1.4125,0.6504,1.6402
-0.55234,2.1812,-1.4125,0.65034,1.6401
-0.80339,1.8315,-1.4125,0.65032,1.6401
-0.8522,1.9428,-1.4125,0.6504,1.6402
-0.90381,2.0605,-1.4125,0.65034,1.6401
-1.0939,1.6743,-1.4125,0.65032,1.6401
-1.1604,1.7761,-1.4125,0.6504,1.6402
-1.2306,1.8836,-1.4125,0.65034,1.6401
